"date","GDP","Consumption","Investment"
"Transform:",3,3,3
"3/1/1991",86,214.2,82.67
"6/1/1991",85.31,219.94,82.8
"9/1/1991",84.83,217.87,81.61
"12/1/1991",86.14,229.46,83.71
"3/1/1992",87.75,231.11,82.27
"6/1/1992",87.01,233.99,81.35
"9/1/1992",86.91,235.22,77.39
"12/1/1992",86.97,244.66,73.72
"3/1/1993",86.03,241.57,70.45
"6/1/1993",86.14,243.24,67.09
"9/1/1993",86.76,247.49,66.5
"12/1/1993",86.93,252.97,64.95
"3/1/1994",88.08,255.39,65.3
"6/1/1994",88.37,255.29,65.91
"9/1/1994",89.06,258.07,67.46
"12/1/1994",89.77,261.74,68.8
"3/1/1995",89.91,262.55,68.26
"6/1/1995",90.78,267.62,69.39
"9/1/1995",90.9,268.49,68.97
"12/1/1995",90.73,269.44,68.32
"3/1/1996",90.12,270.24,68.56
"6/1/1996",91.53,272.52,71.38
"9/1/1996",91.95,273.56,70.82
"12/1/1996",92.31,274.51,72.83
"3/1/1997",91.99,277.62,73.34
"6/1/1997",93.11,278.94,73.74
"9/1/1997",93.42,278.88,74.64
"12/1/1997",94.16,281.35,77.67
"3/1/1998",95.1,282.01,80.09
"6/1/1998",94.67,282.56,81.78
"9/1/1998",94.9,284.96,83.62
"12/1/1998",94.83,287.89,85.12
"3/1/1999",95.84,291.73,87.81
"6/1/1999",95.74,291.53,88.04
"9/1/1999",96.92,292.94,90.17
"12/1/1999",98.14,297.33,91.28
"3/1/2000",99.15,298.64,95.65
"6/1/2000",100.3,304.15,99.22
"9/1/2000",100.23,305.59,102.83
"12/1/2000",100.4,305.5,102.3
"3/1/2001",101.39,311.22,101.01
"6/1/2001",101.44,315.82,97.94
"9/1/2001",101.24,316.9,94.44
"12/1/2001",101.48,315.22,92.24
"3/1/2002",101.17,313.9,89.34
"6/1/2002",101.28,315.43,89.16
"9/1/2002",101.66,317.37,88.38
"12/1/2002",101.45,317.61,89.22
"3/1/2003",101.05,319.71,91.12
"6/1/2003",100.78,321.82,89.44
"9/1/2003",101.21,322.76,89.82
"12/1/2003",101.59,321.55,90.22
"3/1/2004",101.86,323.48,90.16
"6/1/2004",101.78,325.45,92.04
"9/1/2004",101.61,326.54,95.79
"12/1/2004",101.69,328.6,94.36
"3/1/2005",102.05,328.49,96.25
"6/1/2005",102.46,329.75,96.88
"9/1/2005",103.04,334.02,99.18
"12/1/2005",103.33,333.15,103.98
"3/1/2006",104.21,336.36,103.26
"6/1/2006",105.58,337.86,109.05
"9/1/2006",106.36,339.92,108.87
"12/1/2006",107.41,344.39,111.17
"3/1/2007",107.99,339.33,115.63
"6/1/2007",108.27,343.79,116.81
"9/1/2007",109.01,346.96,117.31
"12/1/2007",NA,NA,NA
