"date","ConstrProd","IP","ConstrNO","INO","ConstrTurn","ITurn","RetTurn","CPI","CPIEN","PPI","PPIEN","EPI","IPI","HW","ConstrHW","Empl","GWMan","GWConstr","CDAX","Bond1","Bond5","Bond10","EERN","EERB","TotalDebt","BankDebt","CorpDebt","PublicDebt","ifoIndTradeClimate","ifoIndTradeCurrent","ifoIndTradeExp","GfKBCE","GfKIE","GfKWtB","GfKCCI","ESI"
"Transform:",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2
"1/1/1991",138,89,140.9,77.4,13273959,74.5,NA,74.2,75.9,85.1,88.2,91.1,92.7,168.46,149497,39159,97.39,4093420,152.63,8.97,8.98,8.61,NA,NA,9.1,9.2,9.35,9.1,9.9,18.1,2.1,NA,NA,NA,NA,106.5
"2/1/1991",110.8,87.9,142.5,74,12509873,73.1,NA,74.4,76.2,85.2,88.3,91,91.9,167.65,120769,39047,97.82,3550113,165.33,8.69,8.57,8.31,NA,NA,8.7,8.8,9.07,8.6,10.2,20.1,0.8,NA,NA,NA,NA,104
"3/1/1991",128.2,87.4,149.2,75.3,12985876,73.3,NA,74.4,76.5,85,88.5,91.2,92.3,165.54,136158,38924,97.76,4142090,163.26,8.77,8.71,8.47,NA,NA,8.6,8.7,8.74,8.5,7.3,14.3,0.5,NA,NA,NA,NA,100.1
"4/1/1991",127,86.6,147.2,73.5,13452101,72.9,NA,74.8,76.8,85.7,88.8,91.6,93.3,162.65,133994,38913,98.73,4222990,173.2,8.87,8.63,8.24,NA,NA,8.6,8.7,8.71,8.5,7.4,12.6,2.3,NA,NA,NA,NA,100.4
"5/1/1991",125.5,85.3,149.7,72.9,13811658,72.7,NA,74.9,77,85.8,88.8,91.5,93.2,161.28,132534,38875,101.8,4213446,179.18,8.69,8.47,8.19,NA,NA,8.6,8.7,8.66,8.5,4.9,7.5,2.3,NA,NA,NA,NA,100.5
"6/1/1991",125.7,88.8,153.7,74.1,13941833,74.3,NA,75.4,77.2,85.9,89,91.6,93.5,161.96,131319,38756,102.76,4254286,174.69,8.85,8.73,8.41,NA,NA,8.6,8.7,8.58,8.5,4.8,9.9,-0.1,NA,NA,NA,NA,100.2
"7/1/1991",126.8,86.4,152.9,72.3,14156498,73.1,NA,76.1,77.7,86.6,89.2,91.8,93.6,159.71,132343,38631,99.92,4246947,171.58,9.11,8.97,8.61,NA,NA,8.9,9,9.28,8.8,3.5,7.3,-0.3,NA,NA,NA,NA,95.7
"8/1/1991",125.8,85.1,157.5,76.2,13987031,72.3,NA,76.4,78,86.6,89.3,91.7,93.3,157.8,131003,38482,100.49,4246367,173.62,8.84,8.75,8.31,NA,NA,8.9,9.1,9.02,8.8,2.3,4.6,0.1,NA,NA,NA,NA,94.3
"9/1/1991",127.3,84.7,168.2,72.4,14162897,72.6,NA,76.5,78,86.9,89.4,91.7,92.6,157.49,132114,38430,99.87,4323568,168.73,8.84,8.75,8.26,NA,NA,8.8,8.9,8.94,8.7,2,4.2,-0.1,NA,NA,NA,NA,94.8
"10/1/1991",128.6,86.1,157.4,73.9,14262483,74.3,NA,77.9,79.5,86.8,89.5,91.7,92.7,155.94,132780,38448,100.03,4432615,165,9.05,8.73,8.23,NA,NA,8.7,8.9,8.91,8.6,2.7,4.5,0.9,NA,NA,NA,NA,95.8
"11/1/1991",130.9,87,157.9,75.2,14746880,75.9,NA,78.2,79.7,86.9,89.5,91.7,92.3,156.38,135272,38457,99.86,4444014,163.01,9.07,8.68,8.12,NA,NA,8.7,8.9,8.91,8.6,2.7,3.8,1.6,NA,NA,NA,NA,94.6
"12/1/1991",131.6,87.1,152.5,76,14331268,74.2,NA,78.2,79.8,86.9,89.5,91.6,91.3,153.45,135969,38425,99.9,4329004,161.59,9.01,8.46,7.91,NA,NA,8.7,8.8,8.88,8.5,0.5,2.2,-1.1,NA,NA,NA,NA,95.2
"1/1/1992",136.7,88.1,161.7,75.2,14814463,75.2,NA,78.5,80.3,86.5,89.7,91.8,91,155.04,140905,38396,100.38,4439886,170.16,8.83,8.08,7.7,NA,NA,8.3,8.5,8.84,8.1,-2.7,-2.5,-2.9,7.9,11.5,-23.4,NA,94
"2/1/1992",145.2,89.6,171.1,75.5,16249649,75.8,NA,78.7,80.5,86.9,89.9,92,91.3,154.91,148889,38358,101.53,4693115,177.4,8.79,8.05,7.65,NA,NA,8.2,8.3,8.59,8.1,-3.4,-1.4,-5.3,6.8,10,-20.9,NA,93.2
"3/1/1992",140.6,87.1,166.4,74.8,16301096,74.7,NA,79,80.8,87.1,90.3,92,91.6,153.49,144816,38339,101.06,4694670,174.46,9,8.28,7.73,NA,NA,8.2,8.3,8.61,8.1,-6.4,-7.4,-5.4,-3.2,-0.4,-32.2,NA,90.6
"4/1/1992",138.3,87,162.6,72.6,15945558,74.9,NA,79.4,81.2,87.4,90.5,92.3,91.5,151.96,141106,38322,101.43,4486547,175.57,8.95,8.29,7.85,NA,NA,8.3,8.5,8.71,8.2,-7.5,-8.3,-6.7,-10.5,-3.6,-31.1,NA,88.6
"5/1/1992",139.8,86.3,159.4,71,16082878,74.5,NA,79.7,81.3,87.4,90.7,92.3,91.4,151.08,141805,38291,101.27,4786517,181.3,8.99,8.22,7.82,NA,NA,8.4,8.6,8.86,8.3,-8,-10.2,-5.7,-12.7,-7.4,-39.9,NA,87.5
"6/1/1992",138.3,85.1,164.3,69.5,15926342,73.7,NA,79.9,81.8,87.7,90.9,92.3,91.1,148.76,139803,38253,102.31,4739736,175.51,9.08,8.34,7.92,NA,NA,8.4,8.6,9.14,8.3,-9.7,-12.4,-7,-8.5,-1.8,-40.3,NA,88.7
"7/1/1992",134.5,83.4,156.2,67.9,15748661,72.2,NA,80,81.9,87.5,90.9,92.2,90.4,146.58,135590,38193,104.37,4792661,161.84,9.31,8.47,7.96,NA,NA,8.5,8.7,9.25,8.3,-11.5,-15.7,-7.3,-2,2.1,-31,NA,89.1
"8/1/1992",139.2,83.8,155.5,68.5,16456175,72.4,NA,80.1,81.9,87.5,91,92.1,89.7,147.52,139667,38118,102.68,4757000,152.65,9.47,8.32,7.87,NA,NA,8.6,8.8,9.34,8.4,-18.2,-18.6,-17.8,-1.1,4.9,-19.6,NA,85.3
"9/1/1992",138.9,83,159.7,69,16251964,73.2,NA,80.2,82.1,87.4,91,92,89.2,145.41,139023,38051,102.13,4811097,146.68,8.29,7.77,7.46,NA,NA,8.2,8.4,9.03,8,-19.1,-18.9,-19.2,-11.7,-4.9,-30,NA,82.2
"10/1/1992",136.6,82.8,161.8,65.1,16268148,71.9,NA,80.6,82.5,87.2,90.8,91.9,89.3,144.74,136014,37997,101.57,4805762,148.54,7.72,7.26,7.24,NA,NA,7.6,7.8,8.5,7.4,-25.3,-23.6,-27,-13.8,-6.1,-31.5,NA,78.2
"11/1/1992",139.4,81.6,161.3,65.8,16411215,71.4,NA,80.8,82.8,87.3,90.9,92,89.6,142.59,138490,37956,101.46,5083314,151.53,7.6,7.21,7.17,NA,NA,7.4,7.6,8.25,7.3,-28.2,-27.9,-28.5,-24.4,-11.5,-20.3,NA,74.2
"12/1/1992",149.6,80.2,181.4,67.2,19268732,72.4,NA,80.9,82.9,87.3,90.9,92,89.5,141.23,147828,37918,100.71,4921624,151.26,7.58,6.96,7.06,NA,NA,7.4,7.5,7.86,7.3,-26,-26,-26.1,-28.3,-19.6,-18.3,NA,74.8
"1/1/1993",139.9,79.4,168.8,66.1,16781574,68.9,NA,82,84,87.2,90.9,92,89.3,139.32,138665,37921,99.1,4856099,154.62,7.32,6.84,6.96,100.0106,74.6656,7.1,7.2,7.47,7,-27.7,-33.3,-21.9,-31.5,-21.2,-37.7,NA,74.7
"2/1/1993",139.9,78.2,162.2,64.1,15762352,68.7,NA,82.5,84.5,87.4,90.9,92,89.5,135.79,137981,37903,97.88,4928954,164.32,6.81,6.32,6.69,99.3728,74.8543,6.9,7,7.4,6.8,-31.3,-37.9,-24.3,-31,-17.1,-39.3,NA,74.7
"3/1/1993",145,78.2,170.5,62.7,16464368,68.6,NA,82.6,84.7,87.4,90.8,92,89.5,135.05,143260,37846,97.04,4992302,167.11,6.55,6.32,6.75,98.2208,74.6934,6.5,6.6,7.04,6.4,-28.5,-37.9,-18.4,-33.2,-23,-39.7,NA,73.9
"4/1/1993",144.6,77.6,166.4,62.9,16866038,68.6,NA,83,85.1,87.3,90.9,92,88.9,134.05,142614,37775,97.6,5017796,163.54,6.75,6.45,6.82,99.0217,76.2711,6.6,6.7,7,6.5,-28.7,-36.3,-20.7,-25.1,-11.4,-30.1,NA,74.9
"5/1/1993",145.3,77.6,162.1,64.3,16857372,67.5,NA,83,85.2,87.2,90.7,92,88.7,132.78,143068,37706,96.57,5056500,164.56,6.66,6.5,6.89,98.7281,76.7335,6.7,6.8,7.06,6.6,-30.2,-39.2,-20.8,-26.6,-8.4,-32.3,NA,75.1
"6/1/1993",143.5,77.1,163.8,63.4,17015602,67.4,NA,83.4,85.5,87.2,90.7,92.1,89,131.06,141366,37663,96.74,5087802,168.64,6.59,6.33,6.73,97.0918,76.1411,6.7,6.8,7.15,6.6,-28.6,-39.5,-16.9,-26.8,-17.7,-38.4,NA,75.8
"7/1/1993",141.2,75.3,171.1,64.1,17030086,66.8,NA,83.6,85.8,87.3,90.9,92.3,89.8,130.42,139419,37640,98.05,5109854,178.74,6.29,6.17,6.59,94.3713,74.2389,6.5,6.6,7.06,6.4,-27.4,-39.6,-14.3,-24.9,-20.6,-38.1,NA,74.3
"8/1/1993",147.2,78.6,169.7,63.8,17066766,69,NA,83.8,86.1,87.3,90.9,92.2,89.4,131.85,144336,37609,96.62,5129864,191.32,5.96,5.89,6.25,93.9615,74.1853,6.3,6.4,6.73,6.2,-23.7,-35.7,-10.8,-21.9,-19.4,-29,NA,77.6
"9/1/1993",145.2,78.2,166.3,66.4,17138418,68.6,NA,83.8,86.2,87,90.7,92,88.4,129.83,142755,37598,96.68,5148814,188.41,5.93,5.77,6.24,96.809,76.9013,6.1,6.1,6.64,6,-23.6,-35.9,-10.2,-17.9,-19.2,-25.4,NA,78.8
"10/1/1993",147,78.2,181.6,65.6,17370250,68.3,NA,84.1,86.4,87,90.6,92.1,88.5,129.69,144392,37563,96.7,5207135,203.69,5.66,5.47,6.02,96.4323,77.2096,5.9,6,6.41,5.8,-22.8,-36.5,-8,-23.7,-23.2,-28.8,NA,77.8
"11/1/1993",137,77.5,180.9,65.6,17080582,67.9,NA,84.2,86.5,87.1,90.7,92.2,88.9,128.2,134554,37539,95.84,5279117,202.97,5.38,5.35,6,94.6694,76.1756,5.7,5.8,6.32,5.6,-21.3,-33.3,-8.5,-26.5,-25.6,-27.1,NA,80.1
"12/1/1993",140.8,78.4,179.5,68.1,17314649,69.7,NA,84.2,86.5,87.2,90.8,92.5,89,128.91,138346,37556,96.74,4979322,218.66,5.29,5.16,5.84,94.4796,76.6562,5.6,5.6,6.21,5.5,-19.6,-33.1,-5,-23.7,-26.7,-29.7,NA,80.9
"1/1/1994",156.3,78.2,195.4,64.9,18332656,68,102.1,84.7,86.8,87.3,90.7,92.6,89.2,127.75,153188,37637,96.13,5492050,213.17,5.23,5.25,5.91,95.0498,77.4398,5.5,5.6,6.31,5.5,-19.8,-34.4,-3.9,-23.7,-26,-28.2,NA,81.8
"2/1/1994",144.1,79.3,178.4,67,18616235,68.8,100.8,84.9,87,87.5,90.8,92.6,89.4,127.1,140041,37671,94.39,5263204,206.6,5.58,5.86,6.49,95.2292,78.5106,5.8,5.8,6.41,5.8,-14.7,-27.9,-0.4,-20.3,-25.2,-30.9,NA,83.7
"3/1/1994",163,78.9,183.3,69.2,18595418,69.1,100.8,85.1,87.2,87.6,90.9,92.6,89.2,126.55,158083,37632,95.59,5639855,209.74,5.47,5.99,6.67,96.7574,80.5702,6.2,6.2,6.5,6.2,-12.3,-26.9,3.5,-13.1,-23.3,-32,NA,86.2
"4/1/1994",155.4,79.8,183.1,68.9,18561350,69.9,100.3,85.3,87.5,87.5,90.9,92.6,89.3,127.48,150446,37598,93.63,5331123,219.94,5.37,6.29,6.98,96.928,81.9742,6.3,6.4,6.7,6.3,-8,-22.2,7.3,-3,-16.1,-21.9,NA,89.5
"5/1/1994",154.3,79.6,182.2,68,18484989,69.9,99.2,85.4,87.6,87.6,91,92.6,89.7,125.79,148748,37611,93.55,5407389,209.78,5.27,6.53,7.29,98.2902,83.8148,6.5,6.5,6.86,6.4,-7.6,-21.3,7.2,16,-5.2,-21.3,NA,92
"6/1/1994",156.1,80,177.9,69.8,18696035,70.1,99.5,85.6,87.9,87.6,91,92.6,90.2,125.63,149833,37630,93.91,5428991,201,5.25,6.67,7.29,99.0056,84.7889,6.9,6.9,7.03,6.9,-5.7,-19.5,9.2,37,10.5,-16.6,NA,94.6
"7/1/1994",153.7,79.7,173.3,69.4,18624924,70.5,99.9,85.8,88.1,87.6,91.1,92.7,90,125,147186,37618,93.72,5410609,210.51,5.2,6.61,7.27,100.8866,87.1558,6.8,6.8,7.13,6.7,-6.4,-19.5,7.7,33.9,7.9,-19,NA,95.2
"8/1/1994",157.4,79.8,178.6,68.8,18529470,69.9,99.9,86.2,88.3,87.7,91.2,92.7,89.7,124.75,150097,37660,94.07,5469204,215.99,5.38,6.94,7.54,101.1887,87.4712,7,7,7.17,6.9,-4,-14.5,7.2,30.5,12.9,-12.6,NA,96.8
"9/1/1994",156.7,81,177.1,71.9,18923192,72.3,101.5,86.1,88.4,87.6,91.3,93,89.8,124.9,149092,37700,94.63,5464726,200,5.76,7.28,7.81,101.3756,87.993,7.4,7.4,7.45,7.3,0.6,-9.9,11.7,37.3,6.4,-22.9,NA,98.5
"10/1/1994",162.5,82.4,181.5,72.5,19353242,73.5,100.6,86.2,88.4,87.8,91.5,93.3,90.1,125.24,153774,37710,94.89,5549037,203.57,5.63,7.28,7.79,102.1667,89.5318,7.5,7.5,7.58,7.4,4.1,-6.3,15,47.8,19.7,-10.5,NA,101.4
"11/1/1994",167.5,82.8,194.5,72.8,19781346,74.4,100.2,86.3,88.5,88.2,91.9,93.7,90.4,124.38,158026,37730,93.41,5901287,201.1,5.68,7.18,7.62,101.3578,89.187,7.4,7.5,7.49,7.3,5.3,-4.3,15.4,42.6,11.6,-22.4,NA,100.7
"12/1/1994",162.4,82.8,193.1,75.7,20703854,75.1,102.2,86.3,88.6,88.4,92.1,93.9,91.1,124.91,152681,37762,97.77,5748892,205.92,5.94,7.48,7.81,100.3103,88.4774,7.4,7.5,7.67,7.4,3.7,-6.1,14,33,-5.5,-23.6,NA,100.5
"1/1/1995",143.6,81.3,193.4,70.2,19129154,73.3,100.2,86.4,88.7,88.8,92.8,94.2,91.2,124.17,135020,37761,94.2,5422846,197.38,5.69,7.24,7.62,101.6519,90.3831,7.5,7.6,7.93,7.5,2.1,-6.5,11.1,32,-8,-18.7,NA,100.1
"2/1/1995",168.3,82.4,181.1,71.6,20767032,74.8,102.5,86.7,89,89.1,93.1,94.2,91,123.49,157918,37754,93.13,6019463,204.09,5.67,7.08,7.51,102.723,91.6862,7.3,7.4,7.69,7.3,3.2,-1.9,8.6,26,-6.9,-21.5,NA,99.3
"3/1/1995",160,81.6,176.1,71.7,20138175,74.4,102.7,86.8,89.2,89.3,93.3,94,90.1,122.13,150317,37798,95.95,5629696,188.5,5.07,6.65,7.48,104.4191,93.991,7.1,7.2,7.39,7.1,-2.8,-8.9,3.5,31.3,5.4,-19.5,NA,99.8
"4/1/1995",160.3,81.9,175.2,70.6,19124842,74.1,101.5,86.8,89.1,89.2,93.3,93.9,89.9,122.5,150144,37827,96.15,5498448,197.01,4.89,6.49,7.32,104.7941,94.5971,6.8,6.8,7.21,6.8,-5,-7.1,-2.8,36.3,6.6,-23.9,NA,104
"5/1/1995",158.7,82.4,170.1,72,18988562,74.8,102.4,87,89.4,89.2,93.3,94,89.9,122.8,148193,37770,94.54,5596387,204.66,4.56,5.99,6.93,104.4214,94.1927,6.6,6.6,7.05,6.5,-5.6,-9.4,-1.8,28.3,11.7,-25.6,NA,104.2
"6/1/1995",156.4,81.5,171.1,69.5,18988539,74.8,103.2,87.1,89.5,89.3,93.4,94.1,89.8,122.01,145956,37785,94.82,5488280,205.9,4.81,6.48,7.35,104.8996,94.6272,6.4,6.4,6.84,6.4,-8.6,-11.4,-5.7,24.8,18.9,-19.9,NA,104
"7/1/1995",157,81.3,173.3,71.7,18657680,73.3,102.4,87.1,89.6,89.1,93.4,94.2,89.4,121.68,145826,37799,95.18,5565979,216.92,4.61,6.26,7.17,106.2784,95.866,6.5,6.5,6.85,6.5,-10.9,-13.5,-8.2,22.2,16.4,-8.6,NA,104.1
"8/1/1995",155.9,80.3,172,68.4,18783162,73.3,101.7,87.3,89.8,89.2,93.6,94.5,90,120.62,145418,37791,95.38,5552123,217.38,4.36,6.09,7.07,105.2827,94.9217,6.4,6.4,6.72,6.4,-12.2,-15.5,-8.8,3.5,13.8,-11.1,NA,103.2
"9/1/1995",152.8,81.9,178.3,70.9,18882353,74.5,101.6,87.5,89.9,89.3,93.7,94.6,90.2,120.76,142253,37788,95.49,5421494,212.88,4.08,5.97,7.08,104.8866,94.6106,6.1,6.1,6.49,6.1,-12.1,-14.8,-9.4,3.6,10.1,-16.9,NA,102.1
"10/1/1995",154.8,79.8,170.6,67.8,18450510,72.9,100.1,87.5,90.1,89.3,93.7,94.3,89.6,118.67,143474,37825,95.72,5513061,208.71,4.04,5.73,6.86,106.2836,96.15,6.1,6.1,6.36,6.1,-14.2,-17.4,-10.9,-0.7,6.5,-23.6,NA,102.1
"11/1/1995",160.5,80.3,180.9,69.4,18733999,73.1,102,87.6,90.2,89.2,93.6,94.3,89.6,118.89,148767,37825,96.03,5771556,212.72,3.8,5.37,6.61,106.8019,96.8229,5.8,5.8,6.03,5.8,-14,-18.4,-9.6,-11.5,0.1,-24.5,NA,101.7
"12/1/1995",139.9,80.3,162.1,70.3,18941738,74.2,101.7,87.6,90.1,89.4,93.6,94.3,90,117.49,129557,37854,96.64,5337024,215.7,3.61,5.19,6.4,106.2184,96.3703,5.5,5.5,5.68,5.6,-16.5,-19.9,-12.9,-20.3,-1.5,-20.5,NA,100.1
"1/1/1996",129.7,80.6,170.7,68.6,16283291,73.2,101.3,87.6,90.2,88.1,93.5,94.3,90.2,117.58,118753,37822,96.54,5369731,231.65,3.26,5.05,6.24,106.1775,96.3774,5.3,5.3,5.6,5.3,-21,-25.9,-15.9,-26.4,-18.3,-21.7,NA,98
"2/1/1996",118.2,79.9,162.1,67.8,15058110,71.6,101.3,87.8,90.3,88.1,93.3,94.3,90,116.8,108382,37798,96.16,5020332,230.67,3.42,5.57,6.79,106.0635,96.4038,5.7,5.6,5.78,5.7,-20.9,-27,-14.5,-29.1,-13.7,-19.8,NA,96.3
"3/1/1996",129.1,80.1,156.1,70.4,15933555,72.7,100.6,88,90.5,88,93.3,94.4,90.4,116.66,117628,37740,94.63,4833486,230.6,3.4,5.6,6.81,105.7587,96.3245,5.8,5.8,6.29,5.9,-23.4,-31.8,-14.6,-26.1,-7.7,-26.8,NA,96.2
"4/1/1996",149.7,80.1,155.4,69.9,17580923,73.6,101.7,88.2,90.6,87.9,93.2,94.4,90.6,115.54,136117,37800,94.54,5143172,230.65,3.26,5.42,6.67,105.0272,95.7797,5.7,5.7,6.2,5.8,-20.2,-26.3,-13.8,-21.4,-14.2,-25.4,NA,95.3
"5/1/1996",152.1,80.8,162.6,70.1,18380350,73.6,101.3,88.3,90.8,88,93.3,94.4,90.5,115.3,137905,37860,94.06,5230352,235.52,3.42,5.52,6.81,104.2178,95.211,5.7,5.7,6.17,5.8,-20.7,-28.3,-12.8,-26.8,-14.8,-24.5,NA,95.3
"6/1/1996",156.6,81.2,165.6,71.4,18910859,74,100.6,88.4,91,87.9,93.3,94.3,90.2,114.81,141310,37821,94.39,5264170,241.12,3.65,5.78,6.9,104.6222,95.7571,5.9,5.8,6.23,6,-21.7,-30.4,-12.6,-25.7,-17,-19.9,NA,95.1
"7/1/1996",151.6,80.3,163.6,71,18627621,73.2,101,88.4,91.1,87.8,93.1,94,89.9,114.02,135692,37799,93.88,5268031,233.2,3.53,5.61,6.71,105.7662,96.9613,5.9,5.8,6.12,6,-18.7,-27.7,-9.2,-24.1,-21.1,-22.3,NA,96.7
"8/1/1996",152.9,81.4,167.7,71.3,19011614,73.6,101.2,88.5,91,87.8,93.1,93.8,89.6,114.43,137140,37776,94.22,5231884,239.02,3.34,5.49,6.75,106.6124,97.9232,5.7,5.6,5.98,5.7,-16.9,-26.4,-6.7,-26.4,-5.4,-5.7,NA,97.6
"9/1/1996",154.5,82,163.3,71.1,18696605,75.6,102,88.6,91,88.1,93.2,94,90.2,114.05,137217,37718,94.5,5177768,247.11,3.23,5.24,6.45,105.8579,97.3383,5.5,5.5,5.72,5.6,-13.4,-22.8,-3.4,-23.5,-8.4,-8.8,NA,98.6
"10/1/1996",149,80.9,161.7,72.1,18406968,74.5,99.3,88.9,91.2,88.4,93.3,94.3,91,112.71,131686,37693,93.6,5118537,247.19,3.3,5.17,6.39,104.9701,96.7182,5.3,5.2,5.43,5.4,-10.9,-20.5,-0.9,-22.3,-10.3,-20,NA,99.7
"11/1/1996",148.5,82.1,157.6,71.6,18791101,75.7,100.9,88.9,91.2,88.5,93.3,94.2,91,113.69,130962,37707,93.71,5189976,259.3,3.28,4.88,6.1,105.0634,97.1362,5.2,5.2,5.38,5.3,-12.7,-22.3,-2.6,-23.9,-10,-19.7,NA,99.1
