"date","GDP"
"Transform:",1
"3/1/1991",86
"6/1/1991",85.31
"9/1/1991",84.83
"12/1/1991",86.14
"3/1/1992",87.75
"6/1/1992",87.01
"9/1/1992",86.91
"12/1/1992",86.97
"3/1/1993",86.03
"6/1/1993",86.14
"9/1/1993",86.76
"12/1/1993",86.93
"3/1/1994",88.08
"6/1/1994",88.37
"9/1/1994",89.06
"12/1/1994",89.77
"3/1/1995",89.91
"6/1/1995",90.78
"9/1/1995",90.9
"12/1/1995",90.73
"3/1/1996",90.12
"6/1/1996",91.53
"9/1/1996",91.95
"12/1/1996",92.31
"3/1/1997",91.99
"6/1/1997",93.11
"9/1/1997",93.42
"12/1/1997",94.16
"3/1/1998",95.1
"6/1/1998",94.67
"9/1/1998",94.9
"12/1/1998",94.83
"3/1/1999",95.84
"6/1/1999",95.74
"9/1/1999",96.92
"12/1/1999",98.14
"3/1/2000",99.15
"6/1/2000",100.3
"9/1/2000",100.23
"12/1/2000",100.4
"3/1/2001",101.39
"6/1/2001",101.44
"9/1/2001",101.24
"12/1/2001",101.48
"3/1/2002",101.17
"6/1/2002",101.28
"9/1/2002",101.66
"12/1/2002",101.45
"3/1/2003",101.05
"6/1/2003",100.78
"9/1/2003",101.21
"12/1/2003",101.59
"3/1/2004",101.86
"6/1/2004",101.78
"9/1/2004",101.61
"12/1/2004",101.69
"3/1/2005",102.05
"6/1/2005",102.46
"9/1/2005",103.04
"12/1/2005",103.33
"3/1/2006",104.21
"6/1/2006",105.58
"9/1/2006",106.36
"12/1/2006",107.41
"3/1/2007",108.1
"6/1/2007",108.28
"9/1/2007",109
"12/1/2007",109.29
"3/1/2008",NA
