,M1-01,M1-16,M2-01,M2-16,M3-01,M3-16,M4-01
2008-03,4.772883676896425,4.772883676896425,4.063703169002823,4.063703169002823,3.5445135518204185,3.5445135518204185,3.5691348083891974
2008-06,3.4219787575082634,3.4219787575082634,1.576093622215952,1.576093622215952,2.2310752772137743,2.2310752772137743,2.247244368511333
2008-09,5.372390475950211,5.372390475950211,6.234055069392293,6.234055069392293,6.676570731406099,6.676570731406099,6.675100117321301
2008-12,-0.3555485939886833,-0.3555485939886833,-9.004637115936589,-9.004637115936589,-9.550185749008246,-9.550185749008246,-9.643615250858021
2009-03,-8.328181664613792,-8.328181664613792,-11.970867575767215,-11.970867575767215,-14.46911135561346,-14.46911135561346,-14.354717788608651
2009-06,-17.09929185008528,-17.09929185008528,-12.955343465276208,-12.955343465276208,-14.376531442204907,-14.376531442204907,-14.302424197035466
2009-09,-11.399395018420178,-11.399395018420178,-10.957190608533056,-10.957190608533056,-11.79635817184964,-11.79635817184964,-12.012465127348806
2009-12,-4.381456139931951,-4.381456139931951,-1.3012934587668288,-1.3012934587668288,-2.515573422022822,-2.515573422022822,-2.447730672505451
2010-03,0.8293609212042979,0.8293609212042979,1.4572176240982042,1.4572176240982042,1.288417891580679,1.288417891580679,1.2918145373399792
2010-06,1.343006238665744,1.343006238665744,2.6416961239216366,2.6416961239216366,2.271553555304484,2.271553555304484,2.299825227286261
2010-09,1.017129006766142,1.017129006766142,3.1919427404081917,3.1919427404081917,4.660624145257039,4.660624145257039,4.6308926152157746
2010-12,6.871576245403085,6.871576245403085,8.7206769448345,8.7206769448345,9.916288884324583,9.916288884324583,9.878994674331494
2011-03,5.394506132766419,5.394506132766419,8.364988487010065,8.364988487010065,9.453040179178116,9.453040179178116,9.404640323071588
2011-06,4.999395272515804,4.999395272515804,2.9375183571151213,2.9375183571151213,3.873918835660414,3.873918835660414,3.850172425897385
2011-09,5.939780932758002,5.939780932758002,5.589277294042915,5.589277294042915,4.039679925691548,3.8206245590938073,3.8405872405225234
2011-12,-2.9161481889573944,-2.9161481889573944,-4.5536158998553855,-4.5536158998553855,-5.414392415889037,-5.414392415889037,-5.374707161003383
2012-03,-3.702918818762822,-3.702918818762822,-3.304399392644964,-3.304399392644964,-4.020124416779315,-4.020124416779315,-4.016604069758431
2012-06,-0.5191008817349112,-0.5191008817349112,2.222265445109813,2.222265445109813,1.6025518350591406,1.6025518350591406,1.5994643016911334
2012-09,-0.12079574223757084,-0.12079574223757084,-1.1198130273563525,-1.1198130273563525,-3.474065419348956,-3.474065419348956,-3.396691030893579
2012-12,-2.666396156282343,-2.666396156282343,-2.7690566363762086,-2.7690566363762086,-2.9863607303649706,-2.9863607303649706,-2.977176633652219
2013-03,1.8424240948601351,1.8424240948601351,1.9828966088430873,1.9828966088430873,2.166175216199514,2.166175216199514,2.1702243224779783
2013-06,-0.8484582971911151,-0.8484582971911151,0.4175123564194871,0.4175123564194871,1.5212028087186755,1.5212028087186755,1.5271846238758173
2013-09,-1.2310281445899263,-1.2310281445899263,0.4993307080131394,0.4993307080131394,-0.026186770588556896,-0.026186770588556896,-0.03133875034020528
2013-12,4.460116265452213,4.460116265452213,4.10079093979413,4.10079093979413,3.393950409118841,3.393950409118841,3.356905950554404
2014-03,2.758326885425997,2.758326885425997,3.0215334712652013,3.0215334712652013,1.6552853135018386,1.6552853135018386,1.655055275272745
2014-06,0.14846005765394776,0.14846005765394776,0.6752018774663049,0.6752018774663049,-0.49653193847976884,-0.49653193847976884,-0.4807871304654041
2014-09,3.7557507928637763,3.7557507928637763,3.627292744302335,3.627292744302335,1.552522298268523,2.3972998280756146,2.4168989920520074
2014-12,-3.9808446840886966,-3.9808446840886966,-2.4395971874658184,-2.4395971874658184,-1.0241448571799463,-1.0241448571799463,-1.0306330893153106
2015-03,2.750768384031135,2.750768384031135,1.314315733080536,1.314315733080536,-0.22947418122606578,-0.22947418122606578,-0.22758371777102238
2015-06,0.2530979568052948,0.2530979568052948,2.2383523108867505,2.2383523108867505,1.913027360458,1.913027360458,1.912271321576669
2015-09,3.0774527730247945,3.0774527730247945,-0.2790986259490943,-0.2790986259490943,0.18860107491619804,0.18860107491619804,0.19520016237557447
2015-12,0.2126592095635934,0.2126592095635934,0.9816399120131474,0.9816399120131474,1.4406529065848632,1.4406529065848632,1.437636079726214
2016-03,2.689151718616233,2.689151718616233,2.372728324331188,2.372728324331188,1.1587992170765449,1.1587992170765449,1.170708575228379
2016-06,0.239502431610779,0.239502431610779,1.537158399957672,1.537158399957672,0.8042430901905151,0.8042430901905151,0.7824060633569543
2016-09,3.2828661872074374,3.2828661872074374,-0.03642262574112509,-0.03642262574112509,-0.1851400683909733,-0.1851400683909733,-0.2030199260660327
2016-12,0.090595962619198,0.090595962619198,-0.8283244256105512,-0.8283244256105512,-0.33160377051485446,-0.33160377051485446,-0.33724155614599494
2017-03,0.1469189842981875,0.1469189842981875,0.5355990483497057,0.5355990483497057,-0.25003861125471993,-0.25003861125471993,-0.25066651954199637
2017-06,0.9024714400653202,0.9024714400653202,1.0829118407671305,1.0829118407671305,0.7636607793532773,0.7636607793532773,0.7435968723573716
2017-09,3.5532901849230107,3.5532901849230107,4.178250550144372,4.178250550144372,3.6913349678720557,3.6913349678720557,3.6879347446851005
2017-12,2.1844738302865334,2.1844738302865334,3.6355994032612164,3.6355994032612164,3.9837132449021335,3.9837132449021335,3.9750969835689256
2018-03,3.541618074572498,3.541618074572498,3.549877499805889,3.549877499805889,3.5161203484604013,3.5161203484604013,3.517820457989318
2018-06,2.693791523858807,2.693791523858807,2.446017094042259,2.446017094042259,2.346468382452187,2.346468382452187,2.35371455040813
2018-09,-0.0571018508359864,-0.0571018508359864,1.311557531176992,1.311557531176992,0.5270072921446198,0.5270072921446198,0.5244084012008562
2018-12,1.1500137084524282,1.1500137084524282,0.5635504109638301,0.5635504109638301,1.2072119653439795,1.2072119653439795,1.2174757783767634
