,M1-01,M1-16,M2-01,M2-16,M3-01,M3-16,M4-01
2008-03,0.33397578766439073,0.3115579590200239,1.0273286523913594,2.4723740080836976,3.101481818593286,6.334315339764,10.116043035051852
2008-06,3.0159026169771037,3.479468292256295,-0.28506450912771597,-2.504353085520482,-6.910912093488922,-7.0031516950121135,-5.215613638088472
2008-09,-1.3079801553172958,-1.9017447076977254,-7.23645290382082,-5.598200640662468,-5.12980531788283,-6.18895331389376,-6.157703172547762
2008-12,-5.107210160895714,-2.314719017782247,18.997682220504718,-14.753704901035615,-21.058836864789097,-19.493323330818725,-20.646501479033653
2009-03,-14.681912356342332,-16.220073897100196,-16.679357069572223,-18.209614277210047,-18.654566511258913,-21.93953626476741,-25.416342824457455
2009-06,-11.974340366167546,-8.702252926413303,-8.031993650678851,-5.054616260287288,-8.402595607214293,-8.88102249493605,-7.84134605261851
2009-09,-4.587396512008055,-1.8867785952969605,0.5490195344900307,1.2253782721619055,1.4662626880461946,0.6406984839153518,1.8283568957399612
2009-12,8.360596598855109,8.679955996741654,8.316848472404418,8.530004326601425,8.203545920481659,7.313780558703584,8.53919824326398
2010-03,2.643102628939685,2.535933308401257,3.336746474893577,2.117844903963757,3.5604597315966986,4.4442178149614,3.9407987721963194
2010-06,6.6796259506334446,6.679887276778679,15.39020596538374,17.095704377878306,19.82761611208687,16.96167753635647,16.66545096845452
2010-09,6.670414611584215,6.271286740420177,11.603996828490585,10.543497438711533,12.82586066493316,11.17592398835432,11.450765605310872
2010-12,6.754216754474836,6.559171590167332,8.852652436234468,7.63516181639908,6.972726228165137,7.899876002170717,9.220949032858766
2011-03,2.8473672820333134,2.7239132018925014,3.359010136131907,1.389801819742344,3.2910587316639397,6.634320354786663,7.909210481271615
2011-06,5.890790637688255,5.904828013641138,3.083897124239571,2.780160128908177,4.929173447054911,5.242303748096556,3.59498610076658
2011-09,7.224709227657867,7.15918607660322,4.648552859457253,3.8430784223635235,3.288737142154996,4.916042306336528,4.318860989749822
2011-12,-5.627786496660463,-5.618057508843325,-6.447415947113712,-7.514746158336189,-7.276956859160764,-5.649962649869078,-3.6318159485347326
2012-03,2.0744852583576074,1.8602926949874168,4.320925399912658,3.131386179091224,3.3344137577744677,3.446930948973562,3.8815542507567704
2012-06,3.490864633879384,3.188282712099083,5.836478187574783,6.422171884056196,4.899164701726972,3.6722443342691102,2.61426156778433
2012-09,-8.959814784964882,-8.335714536663659,-8.721025510331758,-8.261343423004332,-6.583273809689472,-5.366965974416798,-3.467377537706013
2012-12,-1.8141918381522237,-1.6136781655785564,-1.8700197815388853,-2.361922107426136,-3.1680691880832317,-3.530609142366097,-2.9108799264285827
2013-03,1.3228903127211002,1.259189318463118,1.8827195914165737,1.8534213869847256,1.661861777166475,1.5873739736114145,1.240109708877018
2013-06,0.6365767210677991,0.5217156944960583,-3.7460199366368965,-3.1056853812649963,-2.218678164736545,-0.9545125588587784,-0.5726864478368345
2013-09,-0.7256173803681822,-0.9776727583609852,-1.716965248670297,-0.9306509042162676,-1.5651867987795616,-2.2912700006136566,-2.1277450965495914
2013-12,3.79940640077258,4.273540090568968,4.034352388260431,4.067323161941945,3.1340874765101066,2.459980379281389,2.1913385260924745
2014-03,1.3492973500092555,1.860979660566854,4.874054640327515,4.614695413110811,3.6709412368947896,4.148964603968995,3.97518354641856
2014-06,2.97035568551971,2.5485056359450717,1.3090427446426698,0.8790381279579604,-1.7484024964418057,-1.6012840419951602,-2.4065346491983153
2014-09,0.6808924210822096,0.4758688622807128,0.2942993600942774,0.23087101589444914,-0.8752845294647269,1.6303217778316739,1.73747852783993
2014-12,-2.6960377380746032,-3.730042534909964,-5.663627428277271,-5.084498679709663,-3.6192427399395672,-2.2998840193550603,-2.60959498220165
2015-03,3.1804357024360757,2.942894522645159,3.7854301401239607,4.051375759645004,2.5293275000746975,2.2875928712214306,2.5990099525363046
2015-06,4.719600612665243,4.200309608272525,6.535458408529906,5.929823589930207,2.665011171478785,2.8075936831006074,2.231676846793853
2015-09,-3.0067481168625774,-2.552483966261591,-1.578838753161341,-1.3756782350344943,-0.8975546412990975,-0.48616412954951815,-1.6309997534474547
2015-12,-3.8729724979558844,-4.194704276954611,-4.156742014780102,-4.1413916101223665,-3.6733067743687746,-2.510494921887426,-2.43851637825388
2016-03,1.0739949763073648,0.7030560381312287,-1.807157248208711,-1.5431794169416313,-4.689106480716957,-2.752062787986101,-3.308863090166713
2016-06,0.594290511705285,0.8553265349878759,0.983553875586937,0.7239077599050835,0.013999004517129876,0.39271089927291336,1.1124329963241766
2016-09,5.168207704095537,4.4798997188331064,2.879902276471758,2.608369973457334,2.6890307809892904,1.9696287353461166,1.86952897766118
2016-12,0.08750800396004754,0.9249633510154643,-0.43209447484073416,-0.7837999937633521,0.7910660811078004,0.9557479080643554,1.629545748549912
2017-03,3.748083422624691,4.132299527556915,5.130589540417912,4.008275428575197,5.866059418367421,5.89234253893202,5.270872662953121
2017-06,4.94173158896071,5.123546760463769,7.290944317321839,6.960210788380229,5.315463123581162,4.816182662405194,3.5663265794939543
2017-09,1.7064768422415582,1.7708567888557738,2.1675104725882197,1.8278807119018254,1.4668158757759047,1.461758679594836,1.7429445542914248
2017-12,0.5087057650032221,1.3031301173298522,2.9534508692381483,2.6569418776596843,3.507329555427023,2.6077322099996465,2.420603132304654
2018-03,1.3961728407167648,2.1436951836617464,3.479489252592171,3.7534897059241485,3.361342027224876,2.8523873258951626,1.875246966684975
2018-06,0.8038405929834458,0.36661651742098245,-0.5298863983093471,-0.405685278222206,0.8551766207220421,0.8483964235850159,1.8859476188235038
2018-09,2.7129617465384817,2.951904850882074,3.733475128035227,3.3236085176404133,3.2427402827346485,2.332420909729466,2.3033034523274694
2018-12,-0.4460375873353464,-0.41477956101131586,-1.3533160676700817,-1.2572217286039213,-0.7215437714208457,-0.37176071254212095,-0.8264873050740087
