"date","ConstrProd","IP","ConstrNO","INO","ConstrTurn","ITurn","RetTurn","CPI","CPIEN","PPI","PPIEN","EPI","IPI","HW","ConstrHW","Empl","GWMan","GWConstr"
"Transform:",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1/1/1991",105.7,94.5,107.1,87.1,13565077,82.5,NA,80,80.5,94,92.9,92.9,93.2,154.69,149072,39163,99.13,4065695
"2/1/1991",84.8,92.7,108.3,84.6,12386761,81,NA,80.2,80.8,94.1,93,92.8,92.4,153.84,121390,38994,99.48,3580819
"3/1/1991",98.2,92.5,106.9,84.7,13131178,80.6,NA,80.2,81.1,93.9,93.2,93,92.8,151.62,142195,38866,99.49,4308806
"4/1/1991",97.2,92,103.8,83.6,13823067,79.9,NA,80.6,81.4,94.6,93.5,93.4,93.8,149.38,135393,38850,100.43,4237314
"5/1/1991",96.1,90.7,109.6,83.6,13835401,79.8,NA,80.8,81.6,94.7,93.5,93.3,93.7,147.99,132686,38760,103.52,4182451
"6/1/1991",96.2,94.2,112.5,84.3,13830985,81.3,NA,81.3,81.9,94.9,93.7,93.4,94,148.47,130078,38630,104.48,4212707
"7/1/1991",97.1,92,111,82.7,14099845,80.5,NA,82.1,82.4,95.6,93.9,93.6,94.1,146.64,132575,38526,101.64,4188310
"8/1/1991",96.3,91.1,114.7,85.3,13879901,79.7,NA,82.4,82.7,95.6,94,93.5,93.8,144.75,130035,38378,102.02,4192658
"9/1/1991",97.5,89.9,122.8,80.9,14138415,79.1,NA,82.5,82.7,95.9,94.1,93.5,93.1,144.39,131555,38312,101.55,4288382
"10/1/1991",98.5,91.7,115.5,83.9,14179917,80.9,NA,84,84.3,95.8,94.2,93.5,93.2,143.14,132810,38339,101.51,4360359
"11/1/1991",100.3,92.8,117,84.1,14621549,82.5,NA,84.3,84.5,95.9,94.3,93.5,92.8,143.35,137177,38343,101.54,4431550
"12/1/1991",100.8,92.1,115.7,84.4,14172939,79.9,NA,84.3,84.6,95.9,94.3,93.4,91.8,140.84,137905,38308,101.58,4436969
"1/1/1992",104.7,93.4,120.1,85.2,15040620,83.1,NA,84.6,85.1,95.5,94.5,93.6,91.5,142.32,141212,38323,102.15,4443131
"2/1/1992",111.2,94,128.6,86.7,16147082,83.7,NA,84.9,85.4,95.9,94.7,93.8,91.8,142.03,148559,38289,103.25,4736564
"3/1/1992",107.7,92.2,119.6,84.1,16338567,82.4,NA,85.2,85.7,96.2,95.1,93.9,92.1,140.82,146133,38235,102.83,4825099
"4/1/1992",105.9,92.2,115.8,83,16196498,82.5,NA,85.6,86.1,96.5,95.3,94.2,92,139.45,141740,38193,103.22,4529285
"5/1/1992",107.1,91.7,116.6,81.2,16065531,82,NA,85.9,86.2,96.5,95.5,94.2,91.9,138.56,141589,38159,102.96,4775446
"6/1/1992",105.9,90.2,120.1,79.7,15812627,80.7,NA,86.1,86.7,96.8,95.7,94.2,91.6,136.42,138872,38098,104.03,4720854
"7/1/1992",103,88.8,113.9,77.3,15707796,79.5,NA,86.3,86.9,96.6,95.7,94.1,90.9,134.58,135935,38047,106.14,4756977
"8/1/1992",106.6,89.5,113.6,78.9,16367231,80,NA,86.4,86.9,96.6,95.8,94,90.2,135.22,137981,37970,104.24,4708947
