"date","ConstrProd","IP","ConstrNO","INO","ConstrTurn","ITurn","CPI","CPIEN","PPI","PPIEN","HW","ConstrHW"
"Transform:",1,1,1,1,1,1,1,1,1,1,1,1
"1/1/1991",105.7,94.5,107.1,87.1,13565077,82.5,80,80.5,94,92.9,154.7,149072
"2/1/1991",84.8,92.7,108.3,84.6,12386761,81,80.2,80.8,94.1,93,153.82,121390
"3/1/1991",98.2,92.5,106.9,84.7,13131178,80.6,80.2,81.1,93.9,93.2,151.56,142195
"4/1/1991",97.2,92,103.8,83.6,13823067,79.9,80.6,81.4,94.6,93.5,149.39,135393
"5/1/1991",96.1,90.7,109.6,83.6,13835401,79.8,80.8,81.6,94.7,93.5,147.95,132686
"6/1/1991",96.2,94.2,112.5,84.3,13830985,81.3,81.3,81.9,94.9,93.7,148.44,130078
"7/1/1991",97.1,92,111,82.7,14099845,80.5,82.1,82.4,95.6,93.9,146.63,132575
"8/1/1991",96.3,91.1,114.7,85.3,13879901,79.7,82.4,82.7,95.6,94,144.73,130035
"9/1/1991",97.5,89.9,122.8,80.9,14138415,79.1,82.5,82.7,95.9,94.1,144.36,131555
"10/1/1991",98.5,91.7,115.5,83.9,14179917,80.9,84,84.3,95.8,94.2,143.14,132810
"11/1/1991",100.3,92.8,117,84.1,14621549,82.5,84.3,84.5,95.9,94.3,143.32,137177
"12/1/1991",100.8,92.1,115.7,84.4,14172939,79.9,84.3,84.6,95.9,94.3,140.76,137905
"1/1/1992",104.7,93.4,120.1,85.2,15040620,83.1,84.6,85.1,95.5,94.5,142.32,141212
"2/1/1992",111.2,94,128.6,86.7,16147082,83.7,84.9,85.4,95.9,94.7,142.01,148559
"3/1/1992",107.7,92.2,119.6,84.1,16338567,82.4,85.2,85.7,96.2,95.1,140.79,146133
"4/1/1992",105.9,92.2,115.8,83,16196498,82.5,85.6,86.1,96.5,95.3,139.44,141740
"5/1/1992",107.1,91.7,116.6,81.2,16065531,82,85.9,86.2,96.5,95.5,138.52,141589
"6/1/1992",105.9,90.2,120.1,79.7,15812627,80.7,86.1,86.7,96.8,95.7,136.41,138872
"7/1/1992",103,88.8,113.9,77.3,15707796,79.5,86.3,86.9,96.6,95.7,134.58,135935
"8/1/1992",106.6,89.5,113.6,78.9,16367231,80,86.4,86.9,96.6,95.8,135.19,137981
"9/1/1992",106.4,88.2,116.9,78.1,16299131,79.9,86.5,87.1,96.5,95.8,133.44,139384
"10/1/1992",104.6,88.1,118,74.8,16186862,78.5,86.9,87.5,96.3,95.6,132.87,136113
"11/1/1992",106.8,87,118.7,75.4,16394524,77.9,87.1,87.8,96.4,95.7,130.77,139138
"12/1/1992",114.6,85.2,136.5,75.3,19139703,77.7,87.2,87.9,96.4,95.7,129.56,148832
"1/1/1993",107.1,83.7,124.3,74.7,16979475,75.9,88.4,89.1,96.3,95.7,127.6,143064
"2/1/1993",107.1,82.2,121.3,73.5,15637612,75.6,88.9,89.6,96.5,95.7,124.6,138249
"3/1/1993",111,82.9,122.8,70.7,16485069,75.3,89.1,89.8,96.5,95.6,124.06,140071
"4/1/1993",110.7,82.2,119.6,71.9,17009265,75.1,89.5,90.2,96.4,95.7,122.98,143321
"5/1/1993",111.2,82.5,118.8,74.5,16806205,74.1,89.5,90.3,96.3,95.5,121.74,142896
"6/1/1993",109.9,81.9,119.6,72.5,16962032,73.6,89.9,90.7,96.3,95.5,120.32,141657
"7/1/1993",108.1,80.3,125,72.9,16949399,73.5,90.1,91,96.4,95.7,119.59,138879
"8/1/1993",112.7,83.9,123.6,73.3,17065815,76.3,90.4,91.3,96.4,95.7,120.97,143674
"9/1/1993",111.2,83.1,121.6,73.9,17189097,74.8,90.4,91.4,96.1,95.5,119.16,143158
"10/1/1993",112.6,83.2,131.7,74.9,17246136,74.6,90.7,91.6,96.1,95.4,118.93,143811
"11/1/1993",104.9,82.7,131.8,74.5,16992133,74.1,90.8,91.7,96.2,95.5,117.62,133839
"12/1/1993",107.8,83.2,134.2,76,17269982,75.2,90.8,91.7,96.3,95.6,118.26,138814
"1/1/1994",119.7,82.2,143,73.2,18743503,74.5,91.3,92,96.4,95.5,117.13,155399
"2/1/1994",110.3,83.9,132.7,76.3,18524662,75.4,91.5,92.3,96.6,95.6,116.61,140216
"3/1/1994",124.8,83.9,132.7,77.4,18536840,75.8,91.7,92.5,96.7,95.7,116.26,154333
"4/1/1994",119,84.7,132.6,77.5,18547066,76.8,92,92.8,96.6,95.7,116.82,150214
"5/1/1994",118.2,84.7,133.3,77.2,18475371,76.8,92.1,92.9,96.7,95.8,115.45,149504
"6/1/1994",119.5,85,129.8,79,18675075,76.9,92.3,93.2,96.7,95.8,115.34,150365
"7/1/1994",117.7,84.9,126.5,78,18506460,77.8,92.5,93.4,96.7,95.9,114.5,145859
"8/1/1994",120.5,85.4,129.9,77.4,18565168,77.4,92.9,93.6,96.8,96,114.57,150283
"9/1/1994",120,86.2,129.3,80.2,18964683,78.8,92.8,93.7,96.7,96.1,114.63,149573
"10/1/1994",124.4,87.8,132.1,81.2,19247800,80.4,92.9,93.7,97,96.4,114.72,152068
"11/1/1994",128.2,88.4,141.2,82.3,19649535,81.2,93.1,93.9,97.4,96.8,114.11,157566
"12/1/1994",124.4,88.4,142.8,84.1,20705120,80.8,93.1,94,97.6,97,114.6,152892
"1/1/1995",109.9,85.2,145.9,79.5,19505093,81.1,93.2,94.1,98,97.7,113.99,134982
"2/1/1995",128.9,86.9,133.3,81.1,20623688,82.5,93.5,94.4,98.4,98,113.3,158009
"3/1/1995",122.5,86.5,128.8,79.7,19939159,81.9,93.6,94.6,98.6,98.2,112.18,150277
"4/1/1995",122.8,86.7,126.6,79.2,18976137,82,93.6,94.5,98.5,98.3,112.15,150066
"5/1/1995",121.5,87.4,121.7,81.1,19081212,82.6,93.8,94.8,98.5,98.3,112.82,148262
"6/1/1995",119.8,86.3,122.6,78.8,18979085,82.3,93.9,94.9,98.6,98.4,111.88,146003
"7/1/1995",120.2,86.1,123.6,80.2,18578752,81.1,93.9,95,98.4,98.4,111.46,145807
"8/1/1995",119.4,85.4,124,77,18813927,81.5,94.1,95.2,98.5,98.6,110.78,145422
"9/1/1995",117,86.9,126.6,79.6,18827663,81.8,94.3,95.3,98.6,98.7,110.71,142307
"10/1/1995",118.6,84.7,126.1,76.1,18405436,80.4,94.3,95.5,98.6,98.7,108.82,143536
"11/1/1995",122.9,85.3,133.9,78.1,18741135,80.3,94.4,95.6,98.5,98.6,109.18,148825
"12/1/1995",107.1,85,120.4,77.7,18982662,80.9,94.5,95.5,98.7,98.6,107.79,129550
"1/1/1996",99.3,85.1,128.5,77.6,16603682,81.7,94.4,95.6,97.3,98.5,107.99,118684
"2/1/1996",90.5,84.3,118.7,76.6,14995342,79.9,94.7,95.8,97.3,98.3,107.13,108415
"3/1/1996",98.9,85,113.9,78.5,15693699,80.6,94.9,96,97.2,98.2,106.92,117639
"4/1/1996",114.6,85.3,112.8,78.8,17553774,81.8,95.1,96.1,97.1,98.1,105.99,136068
"5/1/1996",116.5,85.9,116.4,79.4,18421488,81.6,95.2,96.3,97.2,98.2,105.8,137980
"6/1/1996",119.9,86,119.1,80.8,18894033,81.9,95.3,96.5,97.1,98.2,105.18,141314
"7/1/1996",116.1,85.1,117.6,79.5,18681114,81.1,95.3,96.6,97,98,104.68,135662
"8/1/1996",117.1,86.9,120.6,79.6,18955961,81.9,95.4,96.5,97,98,104.96,137126
"9/1/1996",118.3,87.3,116.4,78.9,18624857,83.4,95.5,96.5,97.3,98.1,104.57,137252
"10/1/1996",114.1,86.1,120.6,80.8,18460442,82.5,95.9,96.7,97.6,98.2,103.47,131692
"11/1/1996",113.7,87.4,116.4,80.4,18665284,83.6,95.8,96.7,97.7,98.3,104.31,131005
"12/1/1996",115.7,87,117.1,79.1,18859763,83.6,95.9,96.9,97.8,98.4,103.21,132700
"1/1/1997",91.6,85.9,111.7,81.3,16340520,83.1,96.4,97.2,97.9,98.2,102.47,106741
"2/1/1997",105.7,87.4,120.4,81.3,17777515,83.4,96.5,97.4,98,98.3,102.57,122899
"3/1/1997",106.6,88.2,109,82.8,18132804,84.9,96.4,97.3,97.9,98.2,102.78,124050
"4/1/1997",108,88.1,106.9,84.4,18137781,84.5,96.4,97.4,98.1,98.4,101.86,125525
"5/1/1997",107.5,87.1,109.7,83.4,17829620,84.9,96.7,97.7,98.3,98.7,98.97,125331
"6/1/1997",108.9,90.1,110.3,84.7,17972972,86.4,96.8,97.8,98.3,98.7,102.3,126081
"7/1/1997",109.7,91,107.7,84.3,17713514,88,97.3,98.5,98.5,98.9,103.38,126651
"8/1/1997",106.6,88.5,109.7,85.2,17397211,86.9,97.6,98.6,98.8,99,100.11,123493
"9/1/1997",108.2,89.5,108.2,86.4,17399545,87.1,97.6,98.6,98.8,99.2,101.24,124744
"10/1/1997",107.4,90.7,112.3,86.8,17583971,87.7,97.7,98.7,98.8,99.2,102.35,123642
"11/1/1997",106.3,91,106.2,85.7,17188917,89,97.8,98.9,98.8,99.2,101.88,122112
"12/1/1997",106,91.9,110.4,86.1,17045620,89.2,97.9,99,98.9,99.3,102.32,121688
"1/1/1998",104.5,92.7,108,88.9,17779040,88.7,97.5,98.8,98.7,99.3,101.04,119284
"2/1/1998",102.4,92.7,111,88.1,17276534,89.5,97.6,98.9,98.7,99.4,102.12,116607
"3/1/1998",105.4,93.7,111.6,88.5,19966095,90.6,97.6,98.9,98.7,99.4,102.03,119371
"4/1/1998",102.3,93.2,111.5,88.7,16396538,90.1,97.7,99,98.4,99.2,102.11,115608
"5/1/1998",104.2,93.5,107.9,88.2,16214813,90.7,98.1,99.4,98.4,99.2,101.6,117500
"6/1/1998",105,92.7,109.3,87.8,16399053,90.8,98.1,99.5,98.3,99.2,101.72,118371
"7/1/1998",105,94.5,115,87.6,16818116,91.2,98.2,99.6,98.2,99.2,102.68,118029
"8/1/1998",103.5,92.9,108.2,86.1,16505278,89.9,98.2,99.6,98,99.1,101.03,116355
"9/1/1998",103.3,92.1,115.3,87.7,16442510,88.6,98.2,99.6,97.9,99,101.2,115515
"10/1/1998",101.8,92.8,111.9,85.3,16394490,89.6,98.3,99.7,97.4,98.7,101.61,113746
