topic0,preis,dollar,ol,je,olpreis,opec,gold,lit,shell,nachfrag,barrel,weltweit,rohstoff,tonn,bp,benzin,gestieg,produktion,tankstell,london,pro,steigend,steig,rohol,erdol,raffineri,expert,erreicht,knapp,pipelin,niedrig,yukos,hoch,welt,cent,gas,benzinpreis,durft,forder,erhoh,reserv,kostet,angebot,metall,total,heizol,energi,millionen_tonnen,zuletzt,taglich,aluminium,diesel,leicht,liefer,olkonzern,elf,kupf,angesicht,produzent,saudi,olkonz,anstieg,verbrauch,roholpreis,erdgas,gefall,dubai,gering,vergangenen_woche,bestand,fass,arabi,brent,vorrat,durchschnitt,erhoht,goldpreis,druck,millionen_barrel,erwart,kraftstoff,million,edelmetall,zud,exxon,sogar,bedarf,niveau,kraftig,kaffe,aral,lieg,trotz,iea,jung,liegt,sort,notier,steigt,abhang
 ,0.022,0.022,0.018,0.013,0.012,0.012,0.01,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic1,itali,italien,rom,mailand,entfuhr,geiseln,berlusconi,entfuhrt,philippin,fiat,freilass,grupp,mitt,la_repubblica,verschleppt,lir,manila,della,corri,sera,turin,prodi,nord,link,ausland,silvio_berlusconi,zunach,hand,zeitung,geiselnehm,gebracht,freigelass,banca,spa,recht,geisel,olivetti,di,gotting,romisch,zusamm,berlusconis,letzt,mafia,bekannt,geiselnahm,nachd,zuvor,il,fuhr,ministerprasident,journalist,romano_prodi,famili,darunt,kontakt,festgehalt,schicksal,la_stampa,allianz,liga,meint,zweit,parmalat,dini,handelt,kidnapp,telecom_italia,gehort,de,berichtet,ciampi,national,gehor,bring,befind,ex,forder,pirelli,schreibt,milliarden_lire,samstag,hiess,alitalia,insel,ehemal,gilt,enel,schwer,losegeld,kam,paolo,jolo,zufolg,agnelli,ebenfall,stund,kommentiert,gewalt,stet
 ,0.055,0.044,0.029,0.016,0.013,0.012,0.01,0.008,0.008,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic2,steu,steuerreform,einkomm,gewinn,besteuer,entlast,belast,vermog,abgab,steuersatz,steuerfrei,finanzamt,abschaff,niedrig,einkommensteu,fiskus,gewerbesteu,burg,einkunft,erhoh,einfuhr,geltend,erheb,ausland,steuerzahl,gilt,senkung,betrieb,regel,mehrwertsteu,steuerrecht,freibetrag,jahrlich,privat,steuerpflicht,steuerpolit,kindergeld,bundesfinanzministerium,satz,sollt,gelt,belastet,zusatz,modell,kapitalgesellschaft,einnahm,ledig,bleib,betrag,pauschal,besteuert,januar,voll,deshalb,vermogensteu,gewerb,finanzminist,erbschaftsteu,plan,erhoht,fuhr,korperschaftsteu,mittelstand,entlastet,eingefuhrt,erhalt,einheit,dadurch,zud,entsprech,finanzministerium,umsatzsteu,gesenkt,abgeschafft,grundsatz,verlust,ausserd,steuervorteil,spitzensteuersatz,forder,mittl,gering,bleibt,konzept,beispiel,erhob,person,wegfall,okosteu,wer,durf,stuf,arbeitnehm,rahm,immobili,statt,unternehmensteuerreform,steuerlast,zins,vorteil
 ,0.047,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic3,cdu,csu,union,stoib,vorsitz,kanzl,bayer,fraktion,schaubl,partei,munch,generalsekretar,bundestag,angela_merkel,bay,debatt,muntefering,fraktionschef,koalition,edmund_stoiber,thema,kanzleramt,wolfgang_schäuble,bundeskanzler_gerhard_schröder,bundesregier,merz,helmut_kohl,opposition,stellvertret,bundestagsfraktion,bundestagswahl,kanzlerin,diskussion,bundeskanzler_helmut_kohl,wahlkampf,sprach,klar,bundeskanzl,parteitag,bonn,rot,glos,spitz,streit,kohl,fraktionsvorsitz,großen_koalition,bayern,kanzlerkandidat,ministerprasident,vorschlag,gemeinsam,viz,fraktionsviz,woll,friedrich_merz,franz_müntefering,große_koalition,seehof,thiers,zdf,bundestagsabgeordnet,merkel,sitzung,struck,bundeskanzlerin_angela_merkel,munchn,unionsfraktion,waigel,prasidium,warf,parteivorsitz,red,chefin,parteichef,wort,erneut,warnt,nannt,passau,gerhard_schröder,ruttg,geschloss,blick,vorstell,off,chefin_angela_merkel,konzept,abgeordnet,kundigt,chef_edmund_stoiber,bekraftigt,unionspolit,betont,lehnt,richtig,ruh,bayerns_ministerpräsident_edmund_stoiber,sozialdemokrat,unionspartei
 ,0.108,0.068,0.062,0.02,0.017,0.013,0.011,0.01,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001
topic4,januar,marz,dezemb,juni,mai,oktob,april,juli,novemb,septemb,februar,teilt,angekundigt,termin,beginn,ursprung,voraussicht,erneut,zunach,erstmal,hiess,verschob,verschieb,vergangenen_jahres,endgult,zuvor,letzt,herb,start,nachd,verlangert,spatest,vorgeseh,abgeschloss,gegeb,kundigt,mitteilt,beschloss,danach,fruhjahr,bekannt,bestatigt,offiziell,anfang,vorlauf,genannt,lauft,zweit,frist,zeitpunkt,verzoger,entsprech,jahres,bislang,bisher,stattfind,sech,beginnt,vorbereit,dahin,verlanger,nächsten_jahres,fest,ebenfall,vereinbart,fruhest,ende_märz,kommenden_jahres,datum,zeitplan,festgelegt,zufolg,ende_juni,begrundet,wahrschein,ende_januar,gerechnet,ausserd,vorerst,endet,verzogert,lauf,gilt,rechn,kommend,ende_september,mitteil,ende_november,ende_oktober,beendet,vorleg,aufgenomm,erhalt,ende_mai,jeweil,ende_juli,ende_februar,laufend,zuletzt,angesetzt
 ,0.045,0.04,0.036,0.035,0.035,0.033,0.031,0.031,0.03,0.028,0.027,0.018,0.012,0.012,0.011,0.011,0.011,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic5,spiel,roll,fussball,verein,wm,spielt,adidas,sport,erfolg,team,pinochet,kuban,chil,welt,lang,recht,letzt,formel,nam,puma,chilen,sieg,bekannt,mannschaft,havanna,fan,zweit,bay,allein,durft,vergang,weltmeisterschaft,mal,kommt,deshalb,sponsor,einzig,gespielt,setzt,castro,neb,saison,sogar,bring,ging,dortmund,platz,erfolgreich,hoch,lauf,gewinn,liga,salomon,seh,tour,olympia,meist,diktator,kam,gehort,olymp,voll,ball,gemacht,fest,best,liess,bleibt,trotz,statt,zeigt,renn,sportlich,jung,gleich,tor,geword,offiziell,erstmal,wichtige_rolle,bundesliga,besond,inzwisch,bess,bleib,nie,stand,wohl,gilt,kaum,stadion,schnell,zeig,fidel_castro,gewonn,zuletzt,heisst,santiago,setz,stellt
